Country,Confirmed,Deaths,Recovered,Active,NewCases,NewDeaths,NewRecovered,DeathsPer100Cases,RecoverPer100Cases,DeathsPer100Recovered,ConfirmedLastWeek,1WeekChange,1Week%Increase,WHORegion,total case,mortality,movingavg
Italy,246286,35112,198593,12581,168,5,147,14.26,80.64,17.68,244624,1662,0.68,Europe,258867,0.14256596,2354355
Jamaica,853,10,714,129,11,0,0,1.17,83.7,1.4,809,44,5.44,Americas,982,0.011723329,2354355
Japan,31142,998,21970,8174,594,0,364,3.2,70.55,4.54,25706,5436,21.15,Western Pacific,39316,0.032046754,2354355
Jordan,1176,11,1041,124,8,0,0,0.94,88.52,1.06,1223,-47,-3.84,Eastern Mediterranean,1300,0.009353741,2354355
Kazakhstan,84648,585,54404,29659,1526,0,1833,0.69,64.27,1.08,73468,11180,15.22,Europe,114307,0.006910972,2354355
Kenya,17975,285,7833,9857,372,5,90,1.59,43.58,3.64,13771,4204,30.53,Africa,27832,0.015855355,2354355
Kosovo,7413,185,4027,3201,496,16,274,2.5,54.32,4.59,5877,1536,26.14,Europe,10614,0.024956158,2354355
Kuwait,64379,438,55057,8884,606,5,684,0.68,85.52,0.8,59763,4616,7.72,Eastern Mediterranean,73263,0.006803461,2354355
Kyrgyzstan,33296,1301,21205,10790,483,24,817,3.91,63.69,6.14,27143,6153,22.67,Europe,44086,0.039073763,2354355
Laos,20,0,19,1,0,0,0,0,95,0,19,1,5.26,Western Pacific,21,0,2354355
Latvia,1219,31,1045,143,0,0,0,2.54,85.73,2.97,1192,27,2.27,Europe,1362,0.025430681,2354355
Lebanon,3882,51,1709,2122,132,0,17,1.31,44.02,2.98,2905,977,33.63,Eastern Mediterranean,6004,0.013137558,2354355
Lesotho,505,12,128,365,0,0,0,2.38,25.35,9.38,359,146,40.67,Africa,870,0.023762376,2354355
Liberia,1167,72,646,449,5,0,5,6.17,55.36,11.15,1107,60,5.42,Africa,1616,0.061696658,2354355
Libya,2827,64,577,2186,158,4,24,2.26,20.41,11.09,1980,847,42.78,Eastern Mediterranean,5013,0.02263884,2354355
Liechtenstein,86,1,81,4,0,0,0,1.16,94.19,1.23,86,0,0,Europe,90,0.011627907,2354355
Lithuania,2019,80,1620,319,11,0,4,3.96,80.24,4.94,1947,72,3.7,Europe,2338,0.039623576,2354355
Luxembourg,6321,112,4825,1384,49,0,178,1.77,76.33,2.32,5639,682,12.09,Europe,7705,0.017718715,2354355
Madagascar,9690,91,6260,3339,395,6,681,0.94,64.6,1.45,7153,2537,35.47,Africa,13029,0.009391125,2354355
Malawi,3664,99,1645,1920,24,0,6,2.7,44.9,6.02,2992,672,22.46,Africa,5584,0.027019651,2354355
Malaysia,8904,124,8601,179,7,0,1,1.39,96.6,1.44,8800,104,1.18,Western Pacific,9083,0.013926325,2354355
Maldives,3369,15,2547,807,67,0,19,0.45,75.6,0.59,2999,370,12.34,South-East Asia,4176,0.00445236,2354355
Mali,2513,124,1913,476,3,1,2,4.93,76.12,6.48,2475,38,1.54,Africa,2989,0.049343414,2354355
Malta,701,9,665,27,1,0,0,1.28,94.86,1.35,677,24,3.55,Europe,728,0.012838802,2354355
Mauritania,6208,156,4653,1399,37,0,223,2.51,74.95,3.35,5923,285,4.81,Africa,7607,0.025128866,2354355
Mauritius,344,10,332,2,0,0,0,2.91,96.51,3.01,343,1,0.29,Africa,346,0.029069767,2354355
Mexico,395489,44022,303810,47657,4973,342,8588,11.13,76.82,14.49,349396,46093,13.19,Americas,443146,0.111310302,2354355
Moldova,23154,748,16154,6252,120,13,245,3.23,69.77,4.63,21115,2039,9.66,Europe,29406,0.032305433,2354355
Monaco,116,4,104,8,0,0,0,3.45,89.66,3.85,109,7,6.42,Europe,124,0.034482759,2354355
Mongolia,289,0,222,67,1,0,4,0,76.82,0,287,2,0.7,Western Pacific,356,0,2354355
Montenegro,2893,45,809,2039,94,2,70,1.56,27.96,5.56,2188,705,32.22,Europe,4932,0.015554787,2354355
Morocco,20887,316,16553,4018,609,3,115,1.51,79.25,1.91,17562,3325,18.93,Eastern Mediterranean,24905,0.015129028,2354355
Mozambique,1701,11,0,1690,32,0,0,0.65,0,inf,1507,194,12.87,Africa,3391,0.006466784,2354355
Namibia,1843,8,101,1734,68,0,26,0.43,5.48,7.92,1344,499,37.13,Africa,3577,0.004340749,2354355
Nepal,18752,48,13754,4950,139,3,626,0.26,73.35,0.35,17844,908,5.09,South-East Asia,23702,0.002559727,2354355
Netherlands,53413,6160,189,47064,419,1,0,11.53,0.35,3259.26,52132,1281,2.46,Europe,100477,0.115327729,2354355
New Zealand,1557,22,1514,21,1,0,1,1.41,97.24,1.45,1555,2,0.13,Western Pacific,1578,0.014129737,2354355
Nicaragua,3439,108,2492,839,0,0,0,3.14,72.46,4.33,3147,292,9.28,Americas,4278,0.031404478,2354355
Niger,1132,69,1027,36,0,0,0,6.1,90.72,6.72,1105,27,2.44,Africa,1168,0.060954064,2354355
Nigeria,41180,860,18203,22117,648,2,829,2.09,44.2,4.72,37225,3955,10.62,Africa,63297,0.020883924,2354355
North Macedonia,10213,466,5564,4183,127,6,137,4.56,54.48,8.38,9249,964,10.42,Europe,14396,0.045628121,2354355
Norway,9132,255,8752,125,15,0,0,2.79,95.84,2.91,9034,98,1.08,Europe,9257,0.027923784,2354355
Oman,77058,393,57028,19637,1053,9,1729,0.51,74.01,0.69,68400,8658,12.66,Eastern Mediterranean,96695,0.005100055,2354355
Pakistan,274289,5842,241026,27421,1176,20,3592,2.13,87.87,2.42,266096,8193,3.08,Eastern Mediterranean,301710,0.021298703,2354355
Panama,61442,1322,35086,25034,1146,28,955,2.15,57.1,3.77,54426,7016,12.89,Americas,86476,0.021516227,2354355
Papua New Guinea,62,0,11,51,0,0,0,0,17.74,0,19,43,226.32,Western Pacific,113,0,2354355
Paraguay,4548,43,2905,1600,104,2,111,0.95,63.87,1.48,3748,800,21.34,Americas,6148,0.009454705,2354355
Peru,389717,18418,272547,98752,13756,575,4697,4.73,69.93,6.76,357681,32036,8.96,Americas,488469,0.047259935,2354355
Philippines,82040,1945,26446,53649,1592,13,336,2.37,32.24,7.35,68898,13142,19.07,Western Pacific,135689,0.023707947,2354355
Poland,43402,1676,32856,8870,337,5,103,3.86,75.7,5.1,40383,3019,7.48,Europe,52272,0.038615732,2354355
Portugal,50299,1719,35375,13205,135,2,158,3.42,70.33,4.86,48771,1528,3.13,Europe,63504,0.03417563,2354355
Qatar,109597,165,106328,3104,292,0,304,0.15,97.02,0.16,107037,2560,2.39,Eastern Mediterranean,112701,0.001505516,2354355
Romania,45902,2206,25794,17902,1104,19,151,4.81,56.19,8.55,38139,7763,20.35,Europe,63804,0.048058908,2354355
Russia,816680,13334,602249,201097,5607,85,3077,1.63,73.74,2.21,776212,40468,5.21,Europe,1017777,0.01632708,2354355
Rwanda,1879,5,975,899,58,0,57,0.27,51.89,0.51,1629,250,15.35,Africa,2778,0.00266099,2354355
Saint Kitts and Nevis,17,0,15,2,0,0,0,0,88.24,0,17,0,0,Americas,19,0,2354355
Saint Lucia,24,0,22,2,0,0,0,0,91.67,0,23,1,4.35,Americas,26,0,2354355
Saint Vincent and the Grenadines,52,0,39,13,0,0,0,0,75,0,50,2,4,Americas,65,0,2354355
San Marino,699,42,657,0,0,0,0,6.01,93.99,6.39,699,0,0,Europe,699,0.060085837,2354355
Sao Tome and Principe,865,14,734,117,2,0,38,1.62,84.86,1.91,746,119,15.95,Africa,982,0.016184971,2354355
Saudi Arabia,268934,2760,222936,43238,1993,27,2613,1.03,82.9,1.24,253349,15585,6.15,Eastern Mediterranean,312172,0.010262741,2354355
Senegal,9764,194,6477,3093,83,3,68,1.99,66.34,3,8948,816,9.12,Africa,12857,0.019868906,2354355
Serbia,24141,543,0,23598,411,9,0,2.25,0,inf,21253,2888,13.59,Europe,47739,0.022492854,2354355
Seychelles,114,0,39,75,0,0,0,0,34.21,0,108,6,5.56,Africa,189,0,2354355
Sierra Leone,1783,66,1317,400,0,0,4,3.7,73.86,5.01,1711,72,4.21,Africa,2183,0.037016265,2354355
Singapore,50838,27,45692,5119,469,0,171,0.05,89.88,0.06,48035,2803,5.84,Western Pacific,55957,0.000531099,2354355
Slovakia,2181,28,1616,537,2,0,39,1.28,74.09,1.73,1980,201,10.15,Europe,2718,0.012838148,2354355
Slovenia,2087,116,1733,238,5,0,55,5.56,83.04,6.69,1953,134,6.86,Europe,2325,0.055582175,2354355
Somalia,3196,93,1543,1560,18,0,22,2.91,48.28,6.03,3130,66,2.11,Eastern Mediterranean,4756,0.029098874,2354355
South Africa,452529,7067,274925,170537,7096,298,9848,1.56,60.75,2.57,373628,78901,21.12,Africa,623066,0.015616679,2354355
South Korea,14203,300,13007,896,28,1,102,2.11,91.58,2.31,13816,387,2.8,Western Pacific,15099,0.021122298,2354355
South Sudan,2305,46,1175,1084,43,1,0,2,50.98,3.91,2211,94,4.25,Africa,3389,0.019956616,2354355
Spain,272421,28432,150376,93613,0,0,0,10.44,55.2,18.91,264836,7585,2.86,Europe,366034,0.104367872,2354355
Sri Lanka,2805,11,2121,673,23,0,15,0.39,75.61,0.52,2730,75,2.75,South-East Asia,3478,0.003921569,2354355
Sudan,11424,720,5939,4765,39,3,49,6.3,51.99,12.12,10992,432,3.93,Eastern Mediterranean,16189,0.06302521,2354355
Suriname,1483,24,925,534,44,1,35,1.62,62.37,2.59,1079,404,37.44,Americas,2017,0.016183412,2354355
Sweden,79395,5700,0,73695,398,3,0,7.18,0,inf,78048,1347,1.73,Europe,153090,0.071792934,2354355
Switzerland,34477,1978,30900,1599,65,1,200,5.74,89.62,6.4,33634,843,2.51,Europe,36076,0.057371581,2354355
Syria,674,40,0,634,24,2,0,5.93,0,inf,522,152,29.12,Eastern Mediterranean,1308,0.059347181,2354355
Taiwan*,462,7,440,15,4,0,0,1.52,95.24,1.59,451,11,2.44,Western Pacific,477,0.015151515,2354355
Tajikistan,7235,60,6028,1147,43,1,58,0.83,83.32,1,6921,314,4.54,Europe,8382,0.00829302,2354355
Tanzania,509,21,183,305,0,0,0,4.13,35.95,11.48,509,0,0,Africa,814,0.041257367,2354355
Thailand,3297,58,3111,128,6,0,2,1.76,94.36,1.86,3250,47,1.45,South-East Asia,3425,0.01759175,2354355
Timor-Leste,24,0,0,24,0,0,0,0,0,0,24,0,0,South-East Asia,48,0,2354355
Togo,874,18,607,249,6,0,8,2.06,69.45,2.97,783,91,11.62,Africa,1123,0.020594966,2354355
Trinidad and Tobago,148,8,128,12,1,0,0,5.41,86.49,6.25,137,11,8.03,Americas,160,0.054054054,2354355
Tunisia,1455,50,1157,248,3,0,15,3.44,79.52,4.32,1381,74,5.36,Eastern Mediterranean,1703,0.034364261,2354355
Turkey,227019,5630,210469,10920,919,17,982,2.48,92.71,2.67,220572,6447,2.92,Europe,237939,0.024799686,2354355
US,4290259,148011,1325804,2816444,56336,1076,27941,3.45,30.9,11.16,3834677,455582,11.88,Americas,7106703,0.034499316,2354355
Uganda,1128,2,986,140,13,0,4,0.18,87.41,0.2,1069,59,5.52,Africa,1268,0.00177305,2354355
Ukraine,67096,1636,37202,28258,835,11,317,2.44,55.45,4.4,60767,6329,10.42,Europe,95354,0.024382974,2354355
United Arab Emirates,59177,345,52510,6322,264,1,328,0.58,88.73,0.66,57193,1984,3.47,Eastern Mediterranean,65499,0.005829968,2354355
United Kingdom,301708,45844,1437,254427,688,7,3,15.19,0.48,3190.26,296944,4764,1.6,Europe,556135,0.151948241,2354355
Uruguay,1202,35,951,216,10,1,3,2.91,79.12,3.68,1064,138,12.97,Americas,1418,0.029118136,2354355
Uzbekistan,21209,121,11674,9414,678,5,569,0.57,55.04,1.04,17149,4060,23.67,Europe,30623,0.005705125,2354355
Venezuela,15988,146,9959,5883,525,4,213,0.91,62.29,1.47,12334,3654,29.63,Americas,21871,0.009131849,2354355
Vietnam,431,0,365,66,11,0,0,0,84.69,0,384,47,12.24,Western Pacific,497,0,2354355
West Bank and Gaza,10621,78,3752,6791,152,2,0,0.73,35.33,2.08,8916,1705,19.12,Eastern Mediterranean,17412,0.007343941,2354355
Western Sahara,10,1,8,1,0,0,0,10,80,12.5,10,0,0,Africa,11,0.1,2354355
Yemen,1691,483,833,375,10,4,36,28.56,49.26,57.98,1619,72,4.45,Eastern Mediterranean,2066,0.285629805,2354355
Zambia,4552,140,2815,1597,71,1,465,3.08,61.84,4.97,3326,1226,36.86,Africa,6149,0.030755712,2354355
Zimbabwe,2704,36,542,2126,192,2,24,1.33,20.04,6.64,1713,991,57.85,Africa,4830,0.013313609,2354355
